name_last,name_first,key_fangraphs,key_mlbam,mlb_played_first,hand,Name,mlb_played_last
Flynn,Brian,12027,543169,2013,L,Brian Flynn,2019
Fogg,Josh,989,150319,2001,R,Josh Fogg,2009
Foltynewicz,Mike,10811,592314,2014,R,Mike Foltynewicz,2021
Font,Wilmer,5257,521655,2012,R,Wilmer Font,2020
Francis,Jeff,4684,433585,2004,L,Jeff Francis,2015
Francisco,Frank,1933,407911,2004,R,Frank Francisco,2014
Franklin,Ryan,1076,211041,1999,R,Ryan Franklin,2011
Frasor,Jason,1906,430630,2004,R,Jason Frasor,2015
Freeland,Kyle,16256,607536,2017,L,Kyle Freeland,2020
Freeman,Sam,6832,518693,2012,L,Sam Freeman,2020
French,Luke,7529,448287,2009,L,Luke French,2010
Frias,Carlos,3547,516910,2014,R,Carlos Frias,2016
Fried,Max,13743,608331,2017,L,Max Fried,2021
Friedrich,Christian,7942,543184,2012,L,Christian Friedrich,2016
Frieri,Ernesto,5178,457117,2009,R,Ernesto Frieri,2017
Fry,Jace,16159,605240,2017,L,Jace Fry,2020
Fry,Paul,15832,643316,2018,L,Paul Fry,2021
Fuentes,Brian,429,150118,2001,L,Brian Fuentes,2012
Fulchino,Jeff,3532,445246,2006,R,Jeff Fulchino,2011
Fulmer,Carson,18311,608334,2016,R,Carson Fulmer,2021
Fulmer,Michael,13218,605242,2016,R,Michael Fulmer,2021
Furbush,Charlie,1370,518703,2011,L,Charlie Furbush,2015
Gabbard,Kason,3418,451257,2006,L,Kason Gabbard,2008
Galarraga,Armando,4222,451482,2007,R,Armando Galarraga,2012
Gallagher,Sean,8261,451595,2007,R,Sean Gallagher,2010
Gallardo,Yovani,8173,451596,2007,R,Yovani Gallardo,2018
Gallegos,Giovanny,14986,606149,2017,R,Giovanny Gallegos,2021
Gallen,Zac,19291,668678,2019,R,Zac Gallen,2021
Gant,John,13684,607231,2016,R,John Gant,2021
Garcia,Freddy,1077,150119,1999,R,Freddy Garcia,2013
Garcia,Jaime,8137,448802,2008,L,Jaime Garcia,2018
Garcia,Jarlin,18282,606424,2017,L,Jarlin Garcia,2021
Garcia,Luis,6984,472610,2013,R,Luis Garcia,2020
Garcia,Yimi,12095,554340,2014,R,Yimi Garcia,2021
Garland,Jon,232,279782,2000,R,Jon Garland,2013
Garrett,Amir,14375,607237,2017,L,Amir Garrett,2021
Garton,Ryan,14016,623439,2016,R,Ryan Garton,2019
Garza,Matt,3340,490063,2006,R,Matt Garza,2017
Gaudin,Chad,1783,429985,2003,R,Chad Gaudin,2013
Gausman,Kevin,14107,592332,2013,R,Kevin Gausman,2021
Gaviglio,Sam,12778,543208,2017,R,Sam Gaviglio,2020
Gearrin,Cory,7947,518715,2011,R,Cory Gearrin,2020
Geary,Geoff,1813,407783,2003,R,Geoff Geary,2009
Gee,Dillon,7396,518716,2010,R,Dillon Gee,2017
Geer,Josh,4781,446207,2008,R,Josh Geer,2009
Geltz,Steve,8402,544993,2012,R,Steve Geltz,2016
German,Domingo,17149,593334,2017,R,Domingo German,2021
Germano,Justin,1938,430683,2004,R,Justin Germano,2014
Germen,Gonzalez,5876,542674,2013,R,Gonzalez Germen,2016
Gibson,Kyle,10123,502043,2013,R,Kyle Gibson,2021
Giese,Dan,2656,435500,2007,R,Dan Giese,2009
Giles,Ken,12910,571704,2014,R,Ken Giles,2020
Gilmartin,Sean,12781,543219,2015,L,Sean Gilmartin,2020
Ginkel,Kevin,19876,656464,2019,R,Kevin Ginkel,2021
Giolito,Lucas,15474,608337,2016,R,Lucas Giolito,2021
Givens,Mychal,10430,571710,2015,R,Mychal Givens,2021
Glasnow,Tyler,14374,607192,2016,R,Tyler Glasnow,2021
Glavine,Tom,90,114849,1987,L,Tom Glavine,2008
Glover,Gary,234,150474,1999,R,Gary Glover,2008
Glover,Koda,17695,606983,2016,R,Koda Glover,2018
Godley,Zack,14862,643327,2015,R,Zack Godley,2021
Goeddel,Erik,11712,592340,2014,R,Erik Goeddel,2018
Gomber,Austin,16561,596295,2018,L,Austin Gomber,2021
Gomes,Brandon,2267,460156,2011,R,Brandon Gomes,2015
Gomez,Jeanmar,9033,491646,2010,R,Jeanmar Gomez,2019
Gonsolin,Tony,19388,664062,2019,R,Tony Gonsolin,2020
Gonzales,Marco,15467,594835,2014,L,Marco Gonzales,2021
Gonzalez,Chi chi,14663,592346,2015,R,Chi chi Gonzalez,2021
Gonzalez,Edgar,1727,429440,2003,R,Edgar Gonzalez,2013
Gonzalez,Gio,7448,461829,2008,L,Gio Gonzalez,2020
Gonzalez,Miguel,7024,456068,2012,R,Miguel Gonzalez,2018
Gonzalez,Mike,1794,283166,2003,L,Mike Gonzalez,2013
Gonzalez,Severino,14697,605894,2015,R,Severino Gonzalez,2016
Goody,Nick,13685,580792,2015,R,Nick Goody,2020
Gorzelanny,Tom,6244,452733,2005,L,Tom Gorzelanny,2016
Gossett,Daniel,16164,605254,2017,R,Daniel Gossett,2018
Gott,Trevor,15046,641627,2015,R,Trevor Gott,2020
Grabow,John,1848,346848,2003,L,John Grabow,2011
Grace,Matt,11449,594840,2015,L,Matt Grace,2020
Graham,J. r.,12042,543242,2015,R,J. r. Graham,2016
Graveman,Kendall,15514,608665,2014,R,Kendall Graveman,2021
Gray,Jeff,7718,462522,2008,R,Jeff Gray,2012
Gray,Jon,14916,592351,2015,R,Jon Gray,2021
Gray,Sonny,12768,543243,2013,R,Sonny Gray,2021
Green,Chad,15552,643338,2016,R,Chad Green,2021
Green,Sean,3001,434958,2006,R,Sean Green,2011
Greene,Shane,10756,572888,2014,R,Shane Greene,2020
Gregerson,Luke,4090,502381,2009,R,Luke Gregerson,2019
Gregg,Kevin,1793,276514,2003,R,Kevin Gregg,2015
Greinke,Zack,1943,425844,2004,R,Zack Greinke,2021
Griffin,A. j.,11132,456167,2012,R,A. j. Griffin,2017
Grilli,Jason,521,276351,2000,R,Jason Grilli,2017
Grimm,Justin,11720,518748,2012,R,Justin Grimm,2020
Gsellman,Robert,13696,607229,2016,R,Robert Gsellman,2021
Guardado,Eddie,727,115216,1993,L,Eddie Guardado,2009
Guerra,Deolis,8410,500610,2015,R,Deolis Guerra,2021
Guerra,Javy,7407,457915,2011,R,Javy Guerra,2020
Guerra,Junior,5702,448855,2015,R,Junior Guerra,2021
Guerrero,Tayron,11691,594027,2016,R,Tayron Guerrero,2019
Guerrier,Matt,2061,407825,2004,R,Matt Guerrier,2014
Guthrie,Jeremy,2072,425386,2004,R,Jeremy Guthrie,2017
Gutierrez,J. c.,3265,434641,2007,R,J. c. Gutierrez,2014
Guzman,Angel,2145,425768,2006,R,Angel Guzman,2009
Hader,Josh,14212,623352,2017,L,Josh Hader,2021
Haeger,Charlie,3545,446624,2006,R,Charlie Haeger,2010
Hagadone,Nick,1351,444935,2011,L,Nick Hagadone,2015
Hahn,Jesse,13287,534910,2014,R,Jesse Hahn,2021
Hale,David,9756,571735,2013,R,David Hale,2021
Halladay,Roy,1303,136880,1998,R,Roy Halladay,2013
Hamels,Cole,4972,430935,2006,L,Cole Hamels,2020
Hammel,Jason,4538,434628,2006,R,Jason Hammel,2018
Hampton,Mike,430,115399,1993,L,Mike Hampton,2010
Hand,Brad,9111,543272,2011,L,Brad Hand,2021
Hand,Donovan,8728,518764,2013,R,Donovan Hand,2015
Hanrahan,Joel,2186,430629,2007,R,Joel Hanrahan,2013
Hansen,Craig,4798,475022,2005,R,Craig Hansen,2009
Hanson,Tommy,9129,462102,2009,R,Tommy Hanson,2013
Happ,J. a.,7410,457918,2007,L,J. a. Happ,2021
Harang,Aaron,1451,421685,2002,R,Aaron Harang,2015
Harden,Rich,1772,425848,2003,R,Rich Harden,2011
Hardy,Blaine,6499,543278,2014,L,Blaine Hardy,2019
Haren,Dan,1757,429717,2003,R,Dan Haren,2015
Harper,Ryne,12680,607560,2019,R,Ryne Harper,2021
Harrell,Lucas,7541,449173,2010,R,Lucas Harrell,2017
Harris,Will,3192,501789,2012,R,Will Harris,2021
Harrison,Matt,5551,457448,2008,L,Matt Harrison,2015
Hart,Donnie,15306,643354,2016,L,Donnie Hart,2019
Hart,Kevin,8079,453954,2007,R,Kevin Hart,2009
Hartlieb,Geoff,19558,664129,2019,R,Geoff Hartlieb,2020
Harvey,Matt,11713,518774,2012,R,Matt Harvey,2021
Hatcher,Chris,3299,501822,2010,R,Chris Hatcher,2018
Hawkins,Latroy,729,115629,1995,R,Latroy Hawkins,2015
Hawksworth,Blake,8963,458003,2009,R,Blake Hawksworth,2011
Heaney,Andrew,15423,571760,2014,L,Andrew Heaney,2021
Hefner,Jeremy,1989,458550,2012,R,Jeremy Hefner,2013
Heilman,Aaron,1751,408310,2003,R,Aaron Heilman,2011
Hellickson,Jeremy,4371,476451,2010,R,Jeremy Hellickson,2019
Helsley,Ryan,18138,664854,2019,R,Ryan Helsley,2021
Hembree,Heath,11632,592390,2013,R,Heath Hembree,2021
Henderson,Jim,6653,449104,2012,R,Jim Henderson,2016
Hendricks,Kyle,12049,543294,2014,R,Kyle Hendricks,2021
Hendrickson,Mark,1574,424805,2002,L,Mark Hendrickson,2011
Hendriks,Liam,3548,521230,2011,R,Liam Hendriks,2021
Hensley,Clay,4593,454535,2005,R,Clay Hensley,2012
Herges,Matt,780,150382,1999,R,Matt Herges,2009
Hernandez,Darwinzon,19848,650382,2019,L,Darwinzon Hernandez,2021
Hernandez,David,4259,456696,2009,R,David Hernandez,2019
Hernandez,Elieser,16933,622694,2018,R,Elieser Hernandez,2021
Hernandez,Felix,4772,433587,2005,R,Felix Hernandez,2019
Hernández,Liván,1116,115817,1996,R,Liván Hernández,2012
Hernandez,Pedro,4578,517060,2012,L,Pedro Hernandez,2014
Hernandez,Roberto,3273,433584,2006,R,Roberto Hernandez,2016
Herndon,David,9264,458589,2010,R,David Herndon,2012
Herrera,Danny,4552,502609,2008,L,Danny Herrera,2011
Herrera,Kelvin,6033,516969,2011,R,Kelvin Herrera,2020
Herrmann,Frank,7960,497807,2010,R,Frank Herrmann,2016
Hess,David,16130,605276,2018,R,David Hess,2020
Heston,Chris,10302,518790,2014,R,Chris Heston,2017
Hicks,Jordan,19618,663855,2018,R,Jordan Hicks,2021
Hildenberger,Trevor,17002,657610,2017,R,Trevor Hildenberger,2021
Hill,Rich,4806,448179,2005,L,Rich Hill,2021
Hill,Shawn,1882,429718,2004,R,Shawn Hill,2012
Hill,Tim,16814,657612,2018,L,Tim Hill,2021
Hinshaw,Alex,3941,450527,2008,L,Alex Hinshaw,2012
Hirano,Yoshihisa,19756,673633,2018,R,Yoshihisa Hirano,2020
Hochevar,Luke,6943,460024,2007,R,Luke Hochevar,2016
Hoffman,Jeff,17432,656546,2016,R,Jeff Hoffman,2021
Hoffman,Trevor,1035,116034,1993,R,Trevor Hoffman,2010
Holder,Jonathan,16588,656547,2016,R,Jonathan Holder,2020
Holland,Derek,4141,502706,2009,L,Derek Holland,2021
Holland,Greg,7196,518813,2010,R,Greg Holland,2021
Holmberg,David,7725,571787,2013,L,David Holmberg,2017
Holmes,Clay,13649,605280,2018,R,Clay Holmes,2021
Hoover,J. j.,9037,543331,2012,R,J. j. Hoover,2018
Horst,Jeremy,596,456662,2011,L,Jeremy Horst,2013
House,T. j.,9121,543334,2014,L,T. j. House,2017
Houser,Adrian,12718,605288,2015,R,Adrian Houser,2021
Howard,Sam,16265,607572,2018,L,Sam Howard,2021
Howell,J. p.,8245,434442,2005,L,J. p. Howell,2017
Howry,Bob,237,133982,1998,R,Bob Howry,2010
Hoyt,James,14605,624586,2016,R,James Hoyt,2021
Hudson,Dakota,19206,641712,2018,R,Dakota Hudson,2020
Hudson,Daniel,7146,543339,2009,R,Daniel Hudson,2021
Hudson,Tim,921,218596,1999,R,Tim Hudson,2015
Huff,David,4257,453307,2009,L,David Huff,2016
